Parameter Estimation Task

Problem Description:
Subtask: 
Time-Course Task

Problem Description:
    StepNumber: 100
    StepSize: 0.01
    Duration: 1
    TimeSeriesRequested: 1
    OutputStartTime: 0
    Output Event: 0
    Continue on Simultaneous Events: 0

Method: Deterministic (LSODA)
    Integrate Reduced Model: 0
    Relative Tolerance: 1e-006
    Absolute Tolerance: 1e-012
    Max Internal Steps: 10000


List of Fitting Items:
    1e-06 <= (reaction_1).k1 <= 1e+06; Start Value = 13.7279
    Affected Experiments:
      all    Affected Validation Experiments:
      all
    1e-06 <= (reaction_1).k2 <= 1e+06; Start Value = 45.825
    Affected Experiments:
      all    Affected Validation Experiments:
      all
    1e-06 <= (reaction_2).k1 <= 1e+06; Start Value = 4.07302e-005
    Affected Experiments:
      all    Affected Validation Experiments:
      all
    1e-06 <= (reaction_2).k2 <= 1e+06; Start Value = 0.0611108
    Affected Experiments:
      all    Affected Validation Experiments:
      all

Method: Hooke & Jeeves
    Iteration Limit: 50
    Tolerance: 1e-005
    Rho: 0.2

[Function Evaluations]	[Best Value]	[Best Parameters]
1	338482	(	13.7279	45.825	4.07302e-005	0.0611108	)
7	266659	(	16.4735	36.66	4.88762e-005	0.0488886	)
11	105149	(	21.9647	18.33	6.51682e-005	0.0244443	)
17	8045.55	(	30.2014	1e-006	8.96063e-005	1e-006	)
23	7990.07	(	41.1837	1e-006	0.00012219	1e-006	)
29	7846.56	(	54.9116	9.16501	0.000162921	1e-006	)
36	5748.48	(	68.6395	9.16501	0.000211797	1e-006	)
42	4657.92	(	85.113	9.16501	0.000268819	1e-006	)
48	4173.9	(	104.332	9.16501	0.000333987	1e-006	)
54	4021.74	(	126.297	9.16501	0.000407302	1e-006	)
61	3997.16	(	145.516	9.16501	0.000488762	1e-006	)
75	3888.11	(	144.967	10.998	0.000490391	1e-006	)
82	3882.93	(	144.418	10.998	0.000493649	1e-006	)
88	3875.23	(	143.319	10.998	0.000498537	1e-006	)
94	3865.52	(	141.672	10.998	0.000505054	1e-006	)
100	3854.69	(	139.476	10.998	0.0005132	1e-006	)
106	3844.04	(	136.73	10.998	0.000522975	1e-006	)
112	3835.5	(	133.435	10.998	0.00053438	1e-006	)
117	3826.87	(	129.591	9.16501	0.000547413	1e-006	)
124	3793.36	(	125.748	9.16501	0.000562076	1e-006	)
130	3761.4	(	121.355	9.16501	0.000578368	1e-006	)
136	3734.89	(	116.413	9.16501	0.000596289	1e-006	)
142	3719.81	(	110.921	9.16501	0.00061584	1e-006	)
148	3710.74	(	105.979	7.332	0.00063702	1e-006	)
155	3655.99	(	101.037	7.332	0.000659828	1e-006	)
161	3610.17	(	95.5462	7.332	0.000684267	1e-006	)
167	3583.88	(	89.506	7.332	0.000710334	1e-006	)
182	3573.32	(	89.6158	6.9654	0.00071066	1e-006	)
189	3572.39	(	89.7256	6.9654	0.000711311	1e-006	)
195	3571.01	(	89.9452	6.9654	0.000712289	1e-006	)
201	3569.23	(	90.2747	6.9654	0.000713592	1e-006	)
207	3567.13	(	90.714	6.9654	0.000715221	1e-006	)
213	3564.81	(	91.2631	6.9654	0.000717177	1e-006	)
219	3562.4	(	91.9221	6.9654	0.000719457	1e-006	)
